id,domain,utterance
train-205,calendar,Change all Thursday event colors from black to red
train-206,file_manager,Delete the red line
train-207,container_management,Unload the container in the second terminal
train-208,list,Move 16 to the top of the list
train-209,lighting_control,turn on the first floor lights and leave everything else as it is
train-210,lighting_control,turn on all the lights on the first floor
train-211,file_manager,"move the file named ""Sarah5339"" from the directory named ""college"" to the directory named ""work"""
train-212,file_manager,Move the dog1704 document into the college directory
train-213,lighting_control,turn the lights on in the bedroom and kitchen on the fourth floor
train-214,file_manager,Move the smallest file into the Work directory
train-215,list,Move number 2 to the bottom
train-216,list,Move number 15 to the bottom
train-217,list,Move 17 below 6
train-218,messenger,"Remove all groups, except the Jessica, Robert group"
train-219,messenger,"Mute the contact group of Sarah, Brian and Amy"
train-220,list,Remove all of the numbers from the list EXCEPT for the 4
train-221,container_management,Load the containers in the first and second terminal
train-222,workforce_management,change maren's salary to 84683
train-223,lighting_control,On floor 3 turn the bathroom and hall light off
train-224,list,Move number 2 to the bottom
train-225,calendar,Cancel all events except jogging on Wednesday
train-226,container_management,Unload the container in the third terminal
train-227,lighting_control,Turn the lights on for the dining room and living room on the first floor
train-228,container_management,Replace the two loaded containers with two identical empty containers
train-229,lighting_control,turn off all the lights on the fourth floor
train-230,workforce_management,Change Samara's position from developer to QA
train-231,container_management,Remove the unloaded container from the third terminal
train-232,calendar,Change all Thursday event colors to black
train-233,workforce_management,Delete Seth from the database
train-234,file_manager,"move the file named ""task8279"" from the directory ""fun"" to the directory named ""work"""
train-235,calendar,Change Wednesday's 09:00 and 11:00 event colors to red
train-236,container_management,- make the grey bar blue
train-237,workforce_management,Change Chet from manager to QA
train-238,file_manager,Move all the files in the Vacation directory to the College directory
train-239,container_management,Remove the container in the third terminal
train-240,lighting_control,turn of the bathroom and hall lights on floor 2
train-241,container_management,Load all of the containers but the one second from the bottom
train-242,container_management,Unload the containers in the first and third terminals
train-243,file_manager,Move the two largest files into the College directory
train-244,calendar,Change all of Wednesday's item colors to red
train-245,calendar,Remove working out from Thursday
train-246,calendar,Change Thursday's 16:00 task color from blue to black
train-247,list,Move number 7 to top of list
train-248,messenger,Make a new chat group including Sarah and Brian
train-249,lighting_control,Turn off the hall light and the kitchen light on the top floor
train-250,messenger,"Unmute chat group with Kevin, Stacy, Jessica, and 4 participants"
train-251,calendar,Delete my Thursday appointments
train-252,calendar,Change all event colors to red except fixing engine
train-253,list,Move number one up one slot
train-254,list,Put a 2 between 18 and 19
train-255,container_management,"Load the first, third and fifth containers"
train-256,workforce_management,Delete all rows except for Toby
train-257,lighting_control,Turn off the lights on floor 2 and 3
train-258,list,Put the 14 at the top of the list
train-259,calendar,cancel all black events
train-260,container_management,Remove the two top and bottom bars
train-261,file_manager,delete the row 'task3334'
train-262,container_management,Load the container in terminal one
train-263,container_management,Unload the container in the second terminal
train-264,container_management,Load the containers in terminals three and four
train-265,list,Move number 19 to the bottom
train-266,calendar,Delete all of the events on Wednesday
train-267,container_management,Unload the container in terminal four
train-268,container_management,Remove the three shortest bars
train-269,list,Move the number 10 to the first place in the list
train-270,lighting_control,Turn on the lights on floor 1 and 2
train-271,lighting_control,turn the lights on in every room
train-272,list,Move the top number to the bottom of the list
train-273,file_manager,Move the smallest three files from the Vacation directory to the College directory
train-274,workforce_management,Make Seth Bethanys manager
train-275,messenger,Delete the chat groups with 4 and 7 participants
train-276,workforce_management,Change Annabel's supervisor from Stacie to Jamee
train-277,container_management,Load the longest container
train-278,calendar,Remove all the appointments after the 9 o clock one
train-279,calendar,Change Wednesday's 10:00 event color from black to red
train-280,calendar,Make all event colors blue
train-281,workforce_management,change natalie's position to manager
train-282,lighting_control,turn on all the second floor lights
train-283,workforce_management,change brittany's manager to vincente
train-284,calendar,Change the color of all appointments on Thursday to red
train-285,messenger,remove all muted groups
train-286,container_management,Please load the smallest container
train-287,messenger,Remove the mute from the chat group with 9 participants
train-288,lighting_control,turn off the second floor bathroom light
train-289,workforce_management,Change the manager of Coretta and Ricardo to Bethann
train-290,lighting_control,turn the third and fourth floor lights on
train-291,calendar,Don't change any events
train-292,container_management,Please move the larger loaded and unloaded containers out of the terminal and leave the smaller loaded container where it is
train-293,messenger,"Add a chat group containing Andrew, Robert, and Kevin"
train-294,container_management,Unload all of the containers
train-295,messenger,Delete the chat group containing Jessica and Kevin
train-296,workforce_management,remove everyone except tianna
train-297,workforce_management,Fire Ezekiel and Ruth
train-298,list,Remove the number 2 from the list
train-299,file_manager,"delete the files named ""laptop0437"" and ""laptop1340"" from the directory ""college"""
train-300,lighting_control,Turn off all lights on floor 2 and floor 1
train-301,list,Move number 18 to the bottom
train-302,container_management,Load the containers in the first and third terminals
train-303,calendar,Change the color of the appointment at the carwash
train-304,workforce_management,"Change Bradford's salary to 49,898"
train-305,messenger,"make a group with jessica, amy, and sarah"
train-306,file_manager,Delete task4405.docx
train-307,list,Move number 11 to the top
train-308,calendar,change the color of 16:00 on Thursday to blue
train-309,file_manager,"Move the ""jake"" red line to below the black jake line and red ""task"" line to the bottom of ""work."""
train-310,workforce_management,Replace Trista and Tamesha as managers with Damaris
train-311,file_manager,"Move the red ""car"" line to the top of ""college"" and the red ""sarah"" line to the bottom of ""college."""
train-312,list,Move number 1 to the bottom
train-313,list,Move 4 to the bottom of the list
train-314,lighting_control,turn off all lights except for the one in the kitchen
train-315,file_manager,"In the directory ""work"" delete all files excepts sarah0556, and sarah7645"
train-316,workforce_management,change hamilton's manager to jack
train-317,calendar,Change shopping's color from black to red
train-318,lighting_control,Turn off all the lights on floor 1
train-319,file_manager,"Move the red ""jake"" lines to below the black ""dog"" line and the ""task"" red line to the bottom of ""work."""
train-320,lighting_control,turn the lights on in all rooms
train-321,workforce_management,"Increase Carmen's salary from 42,306 to 44,275"
train-322,workforce_management,make nicolette's salary 70252
train-323,list,Move number 1 to the top
train-324,workforce_management,Promote Shoshana to developer
train-325,workforce_management,"Change Shana's salary from 40,839 to 97,764"
train-326,messenger,Mute the chat group with the most participants
train-327,calendar,Delete Wednesday's 11:00 event
train-328,lighting_control,Turn on all lights on floor 1
train-329,file_manager,"Move the rest line to the bottom of ""vacation"""
train-330,workforce_management,"change name of the manager, Joy, to Shena"
train-331,workforce_management,Make Greta a manager
train-332,calendar,Delete all events from November 9th
train-333,list,Move the number 1 to the bottom of the list
train-334,container_management,"Add an unloaded container below the first, a loaded container below that, a loaded container in the fourth slot and an uloaded container in the last terminal"
train-335,lighting_control,Turn on all the lights on floor 2 and floor 1
train-336,lighting_control,turn off the lights on the third and fourth floors
train-337,container_management,Unload the container in the second terminal
train-338,messenger,"Unmute the Amanda, Andrew, Kevin group"
train-339,workforce_management,Change the manager of the bottom two employees to Shannan
train-340,list,Move the 4 from the top of the list to the bottom of the list
train-341,lighting_control,Turn off all the lights on floor 2 and floor 3
train-342,list,Move the 17 to the last place in the list
train-343,messenger,"Add chat group with Amanda, Amy, Andrew, and 3 participants"
train-344,list,Move number 20 to the top
train-345,container_management,Load all of the containers but the bottom one
train-346,messenger,Mute the chat group with Jessica and Sarah
train-347,list,Move number 20 up one slot
train-348,workforce_management,"change the salary of 43,021 to 94,051"
train-349,container_management,Remove the short empty container and the two loaded containers
train-350,calendar,Change the color of my last three appointments on Thursday to blue
train-351,workforce_management,Make Bronson the manager of Maia and Orlando
train-352,calendar,Cancel working out on Wednesday
train-353,file_manager,"move the file named ""dog1864"" to the college directory"
train-354,lighting_control,Turn off the lights on floor 2
train-355,list,Delete the bottom number
train-356,messenger,"Add group Jessica, Kevin, Brian, and 3 participants"
train-357,lighting_control,Turn off the lights on floor 2
train-358,messenger,"Unmute chat group with Brian, Stacy, and 2 participants"
train-359,calendar,Change all Thursday item colors to blue
train-360,calendar,Delete all Wednesday events and Thursday's 09:00 work out
train-361,lighting_control,turn the lights off on the first floor
train-362,file_manager,Move all files from the College directory to the Work directory
train-363,container_management,Load the container in terminal one
train-364,messenger,"Remove the Amy, Brian, Peter group"
train-365,workforce_management,Delete employees Mamie and Sylvester
train-366,file_manager,Move the red item to below laptop2222
train-367,messenger,"Add a chat group with the names Andrew, Robert, and Sarah"
train-368,calendar,Remove the final three items from Thursday's calendar
train-369,calendar,"Cancel getting a haircut, fixing the engine, and buying a piano on Wednesday"
train-370,file_manager,Move the PDF file from the Fun directory into the Work directory
train-371,messenger,Mute the chat group containing Andrew and Robert
train-372,container_management,Remove the shortest bar
train-373,lighting_control,Turn on the bathroom light on floor 2
train-374,file_manager,move the file 'dog1732' to the top of the Fun directory
train-375,lighting_control,Turn the lights off on Floor 1
train-376,messenger,delete my first chat group
train-377,list,move 1 to the top of the list
train-378,calendar,Change the color of volleyball on Thursday to red
train-379,calendar,Delete all Wednesday events from the calendar
train-380,lighting_control,Turn off the lights in the bathroom and hall on floor 4
train-381,list,Remove numbers 1 and three
train-382,container_management,Remove the longest of the five bars
train-383,lighting_control,Turn on the lights in the bathroom and family room on floor 4
train-384,file_manager,Move the file 'jake8630' to the bottom of the College directory
train-385,file_manager,delete the car3821 row
train-386,workforce_management,Change Omari's position to manager
train-387,calendar,Delete everything on Thursday after jogging
train-388,container_management,Unload the container in terminal three
train-389,messenger,create a group with amanda and robert
train-390,workforce_management,Change Lina's manager to Bradley
train-391,messenger,"Remove the chat group with Robert, Amy, and 2 participants"
train-392,file_manager,Delete both red lines
train-393,list,Move number 6 to the top
train-394,workforce_management,Make Kenneth the manager of Lynda and Kimberly
train-395,workforce_management,Remove Daren from the employee list
train-396,lighting_control,Turn on the lights on floor 1 and floor 2
train-397,container_management,Keep the longest empty container and replace all others with the same loaded containers
train-398,workforce_management,Get rid of everyone but Sally
train-399,messenger,"Add chat group with Jessica, Kevin, and 2 participants"
train-400,workforce_management,change Che from QA to manager
train-401,calendar,Change Thursday's 12:00 and 13:00 colors to green
train-402,messenger,"Un-mute these two groups - the group with Jessica and Robert only, and the group that includes Amanda, Robert, and Brian"
train-403,list,Move the number 7 from the last place in the list to the first place in the list
train-404,container_management,Unload the container in the fourth terminal
train-405,calendar,Remove the 09:00 meeting from the calendar
train-406,list,Move 20 to the top of the list
train-407,messenger,Add a new group to the list with only Robert and Sarah in it and no other participants
train-408,workforce_management,change jayne's position to manager
train-409,list,Move number 3 to the bottom
train-410,workforce_management,change the name of Manager of Qiana and Aron to Ellis
train-411,list,Move the number 20 from the last spot on the list to the first spot in the list
train-412,file_manager,"delete the file named ""laptop6604"" from the directory named ""work"""
train-413,list,move 16 to the bottom of the listt
train-414,messenger,delete all my groups except for the last one
train-415,file_manager,Delete files highlighted in red text
train-416,container_management,Remove the container in the first terminal
train-417,messenger,"Add chat group with Amanda, Andrew, Robert, and 3 participants"
train-418,lighting_control,turn the light off in the hall and in the first floor bathroom
train-419,messenger,mute the chat group with sarah and brian
train-420,container_management,Remove all containers except the bottom container
train-421,file_manager,Move the two smallest files to the College directory
train-422,messenger,"Un-mute the group with seven people that has Brian, Jessica, and Andrew in it"
train-423,calendar,Change the color of the last appointment on Thursday to red
train-424,container_management,Load the container in the first terminal
train-425,calendar,Delete my last two appointments on Thursday
train-426,workforce_management,"change the name of manager, Georgina, to Joan"
train-427,calendar,Keep the schedule the same
train-428,list,move 17 to the top of the list
train-429,file_manager,delete the file 'dog2133'
train-430,container_management,Unload the containers in the third and fourth terminals
train-431,messenger,Delete the group with 2 participants
train-432,workforce_management,change sharona and otis's managers to christel
train-433,calendar,Change car wash from red to black
train-434,list,Remove the 3 from the list
train-435,messenger,Mute the contact group of Amanda and Jessica
train-436,file_manager,"move the file ""laptop5516"" to the directory ""fun"""
train-437,calendar,Delete all appointments after jogging on Wednesday and everything on Thursday
train-438,workforce_management,Change Shaunda's position to developer
train-439,list,Move the number 3 from the second place in the list to the last place in the list
train-440,workforce_management,Promote Chassity to manager
train-441,list,Remove all of the numbers from the list EXCEPT the 18
train-442,messenger,mute my chat group with stacy and kevin
train-443,container_management,Load the container in the fifth terminal
train-444,container_management,unload the top and the middle container
train-445,file_manager,Delete the three largest files
train-446,lighting_control,Turn on the dining room light and hall light on the second floor
train-447,calendar,Delete the 17:00 event from Thursday
train-448,workforce_management,Delete the rows for Antonia and Paul
train-449,lighting_control,Turn on all the lights on all floors
train-450,file_manager,"move the file named ""dog1677"" from the directory ""fun"" to the directory ""college"""
train-451,messenger,unmute my last chat group
train-452,file_manager,Delete the row 'sarah3426'
train-453,workforce_management,Remove Carter from the employee list
train-454,workforce_management,remove bronson
train-455,list,Delete all numbers from the list except for 6
train-456,file_manager,Delete all files highlighted in red
train-457,container_management,Unload the container in the third terminal
train-458,file_manager,"delete the file named ""car2430"" from the directory named ""fun"""
train-459,file_manager,"delete the file named ""laptop7315"" from the directory ""college"""
train-460,lighting_control,Turn off the light in the floor 1 dining room
train-461,file_manager,"delete the file named ""car3037"" from the directory ""fun"""
train-462,workforce_management,Make Keli a QA
train-463,container_management,"I need all those containers, except the very smallest one, taken out of the terminal and the one that remains here should also remain loaded"
train-464,list,"Remove numbers 8,4, and 14"
train-465,messenger,"Add chat group with Amanda, Kevin, Adam, and 3 participants"
train-466,file_manager,"move the files ""sarah4716"" and ""sarah4905"" to the directory marked ""vacation"""
train-467,container_management,remove the topmost 2 containers and the bottom container
train-468,calendar,Don't change any events
train-469,calendar,Keep the schedule the same
train-470,file_manager,Delete the car5952 image file from the college directory
train-471,workforce_management,Change Jessica and Tequila's manager from Deanna to Joey
train-472,workforce_management,"Increase Gena's salary to 52,181"
train-473,file_manager,Delete task1380.txt
train-474,calendar,Change the color of the shopping on the 9th to black
train-475,list,Place the red number above the top number
train-476,lighting_control,Turn on all the lights on floor 1
train-477,container_management,Remove the two shortest bars
train-478,calendar,Change the 10:00 on Wednesday to blue
train-479,list,move 18 to the top of the list
train-480,lighting_control,Turn on the lights on floor 1
train-481,container_management,Remove the middle bar
train-482,list,Move number 1 to the bottom
train-483,file_manager,Delete the red lines
train-484,calendar,Make the 13:00 and 16:00 on Thursday black
train-485,list,Remove the 19 from the list
train-486,container_management,Load the container in terminal three
train-487,file_manager,"Sort files according to purpose, putting work related files in the work directory and fun files into the fun directory"
train-488,calendar,Remove all calendar items except the car wash
train-489,workforce_management,Promote Vincenzo to developer
train-490,workforce_management,Change Tashias manager from Cecilia to Tosha
train-491,file_manager,"Move the red line to the top of ""college."""
train-492,calendar,Change Thursday's 15:00 event from blue to green
train-493,calendar,Change the 13:00 appointment on Wednesday and all the Thursday appointments to green
train-494,calendar,Remove Wednesday's 09:00 item from the calendar
train-495,calendar,Delete volleyball from the schedule
train-496,workforce_management,Fire Pedro
train-497,file_manager,delete the file 'dog5376'
train-498,list,move seven to the bottom of the list
train-499,container_management,Remove the two longest bars
train-500,container_management,Remove the grey bars
train-501,list,"Remove numbers 16,7,13, and 9"
train-502,calendar,Call Jessica and cancel the 12:00 car wash at Redwood
train-503,workforce_management,Fire Karl and Ayesha
train-504,workforce_management,change tavon and mya's manager to bridgette
train-505,file_manager,Delete all files except task5684.doc
train-506,list,Move the number 15 to the top of the list
train-507,calendar,Remove the 10:00 event on Wednesday
train-508,list,Move the number 18 to the top of the list
train-509,list,Delete all numbers except for 4
train-510,calendar,Change the text color of the first two appointments to red
train-511,list,Remove number 6
train-512,messenger,Unmute the chat group that is muted
train-513,file_manager,Move the file 'task6800' from Fun to the bottom of the Vacation directory
train-514,messenger,mute my first chat group
train-515,calendar,Change all event colors to red except car wash
train-516,container_management,Unload the container in the third terminal
train-517,lighting_control,turn all the lights on except for in the second floor bathroom
train-518,workforce_management,Replace Ashly and Tami as managers with Kathrine
train-519,list,move four to the bottom of the list
train-520,calendar,Change Thursday's 11:00 from black to blue
train-521,calendar,Change Thursday's shopping color to green
train-522,container_management,Load the container in terminal two
train-523,messenger,"Remove all groups, except the Robert, Sarah group"
train-524,calendar,Cancel the 09:00 and 11:00 events on Wednesday
train-525,messenger,"Mute chat group with Brian, Amanda, Andrew, and 8 participants"
train-526,messenger,mute my last chat group
train-527,list,Remove the 18 from the list
train-528,file_manager,"Move the red line to the bottom of ""College."""
train-529,file_manager,"delete the file named ""sarah3937"" from the directory named ""college"""
train-530,file_manager,Delete the red line
train-531,lighting_control,Turn off all lights on floor 1
train-532,container_management,Unload the top most loaded container
train-533,container_management,"Unload the containers in the second, third and fifth terminals"
train-534,list,Remove number 2
train-535,container_management,"Load the containers in terminals two, three and six"
train-536,list,Remove number 18 from the list
train-537,workforce_management,Change the position for Ari from developer to QA
train-538,calendar,Delete jogging from the schedule
train-539,container_management,Unload the container in terminal five
train-540,container_management,Load the container in the second terminal
train-541,file_manager,delete the files 'task9398' and 'dog1749'
train-542,container_management,Remove the two short containers
train-543,list,Put the three under the five
train-544,list,Remove 20
train-545,file_manager,"Move the files named ""car8786"" and ""sarah8479"" from the directory named ""work"" to the directory named ""vacation"""
train-546,file_manager,Delete the two smallest files
train-547,lighting_control,Turn on all lights on floor 1 and floor 2
train-548,lighting_control,turn all first floor lights on
train-549,list,Move 16 to the top of the list
train-550,workforce_management,"Increase Russells salary to 72,812"
train-551,messenger,Remove the chat group with Andrew and Robert
train-552,calendar,cancel buying a piano on Thursday
train-553,container_management,Unload the container in terminal three
train-554,calendar,Erase my appoinments on Thursday and the work out on Wednesday
train-555,lighting_control,Turn on the bathroom light on floor 4
train-556,workforce_management,"Increase Kristas salary to 82,415"
train-557,lighting_control,turn off all the lights on the first and second floors
train-558,list,Remove number 5
train-559,workforce_management,change june's position to developer
